ticker,sector
GENUSPAPER.NS,UNKNOWN
GENUSPOWER.NS,UNKNOWN
GEOJITFSL.NS,UNKNOWN
GESHIP.NS,SERVICES
GFLLIMITED.NS,UNKNOWN
GHCL.NS,UNKNOWN
GHCLTEXTIL.NS,UNKNOWN
GICHSGFIN.NS,UNKNOWN
GICRE.NS,FINANCIAL_SERVICES
GILLANDERS.NS,UNKNOWN
GILLETTE.NS,FAST_MOVING_CONSUMER_GOODS
GINNIFILA.NS,UNKNOWN
GIPCL.NS,UNKNOWN
GKENERGY.NS,UNKNOWN
GKWLIMITED.NS,UNKNOWN
GLAND.NS,HEALTHCARE
GLAXO.NS,HEALTHCARE
GLENMARK.NS,HEALTHCARE
GLOBAL.NS,UNKNOWN
GLOBALE.NS,UNKNOWN
GLOBALVECT.NS,UNKNOWN
GLOBE.NS,UNKNOWN
GLOBECIVIL.NS,UNKNOWN
GLOBUSSPR.NS,UNKNOWN
GLOSTERLTD.NS,UNKNOWN
GLOTTIS.NS,UNKNOWN
GMBREW.NS,UNKNOWN
GMDCLTD.NS,METALS_AND_MINING
GMMPFAUDLR.NS,UNKNOWN
GMRAIRPORT.NS,SERVICES
GMRP&UI.NS,UNKNOWN
GNA.NS,UNKNOWN
GNFC.NS,UNKNOWN
GOACARBON.NS,UNKNOWN
GOCLCORP.NS,UNKNOWN
GOCOLORS.NS,UNKNOWN
GODAVARIB.NS,UNKNOWN
